11,267,112,57,28,39
17,202,105,38,39,50
17,394,108,52,21,40
21,418,104,53,32,34
30,180,102,45,27,62
40,260,103,44,34,43
45,50,101,0,84,63
48,422,106,65,27,25
51,175,101,45,27,59
60,174,101,36,51,45
65,170,101,43,46,36
79,164,99,39,45,43
82,227,101,46,39,39
85,285,99,41,46,30
94,107,98,41,36,57
98,299,106,50,26,50
109,290,98,51,26,44
135,90,95,28,58,47
138,185,96,42,36,50
150,269,104,47,27,62
153,184,98,37,32,61
155,152,97,41,43,50
155,248,102,41,51,39
192,299,102,40,48,36
194,291,95,41,51,21
220,317,92,39,46,37
235,430,92,48,39,29
242,283,90,48,41,22
251,22,90,20,52,77
260,162,90,43,45,36
269,177,90,43,45,36
284,243,84,51,27,45
285,130,90,29,56,43
293,179,90,46,24,60
312,292,88,48,47,29
317,283,84,52,28,39
322,108,86,39,34,65
339,302,83,59,17,41
359,287,87,44,40,38
368,450,89,53,38,24
381,150,79,44,34,55
381,161,82,39,49,36
390,300,90,37,49,44
390,404,84,61,18,42
402,156,81,28,57,44
403,95,79,23,69,43
409,277,79,54,27,39
410,145,82,40,43,44
411,300,87,36,49,41
413,122,78,45,20,76
421,204,78,41,42,41
424,202,79,28,62,33
424,429,84,46,33,40
443,96,79,23,54,56
448,142,77,38,47,47
462,184,76,45,33,52
467,247,75,40,45,36
476,193,75,44,37,45
484,276,72,65,0,58
495,206,73,30,58,35
503,138,75,33,55,40
515,245,80,26,61,41
521,49,73,8,75,61
534,108,73,41,36,61
539,224,77,39,34,68
555,180,71,16,82,34
557,261,70,44,39,40
563,175,70,41,46,38
564,288,68,47,42,27
576,211,72,51,22,57
577,233,68,53,31,36
594,311,67,55,25,42
606,166,66,30,55,50
124,124,98,37,35,61
105,183,100,40,34,52
150,273,95,42,49,28
582,97,70,24,54,63
566,148,71,30,48,54
